,account_id,district_id,date,statement_frequency,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,municipality_population<500,municipality_population_500-1999,municipality_population_2000-9999,municipality_population_>=10000,unemployment_rate_for_95,unemployment_rate_for_96,crimes_committed_in_95,crimes_committed_in_96,num_customers,credit_cards,loan_id,loan_granted_date,loan_amount,loan_payments,loan_term,loan_status,loan,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
0,1,18,1995-03-24,monthly,Pisek,south Bohemia,70699,4,65.3,8968,131,60,13,2,1,2.8,3.35,1740.0,1910,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,7500,15,NA,30415,1000
1,2,1,1993-02-26,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,2,0.0,4959.0,1994-01-05,80952.0,3373.0,24.0,A,True,False,42000,15,NA,69302,1100
2,3,5,1997-07-07,monthly,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3.8,4.43,2616.0,3040,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,7400,15,NA,53447,1000
3,4,12,1996-02-21,monthly,Pribram,central Bohemia,107870,6,58.0,8754,137,84,29,6,1,3.8,4.31,3804.0,3868,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,5250,15,NA,34870,800
4,5,15,1997-05-30,monthly,Cesky Krumlov,south Bohemia,58796,5,51.9,9045,124,22,16,7,1,3.1,3.6,1845.0,1879,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,5100,15,NA,32036,600
5,6,51,1994-09-27,monthly,Trutnov,east Bohemia,121947,11,70.5,8541,131,37,28,7,3,2.5,2.97,3496.0,3839,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,11600,15,NA,51879,900
6,7,60,1996-11-24,monthly,Prostejov,south Moravia,110643,4,51.9,8441,115,49,41,4,1,3.4,4.48,1879.0,2252,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,25800,15,1.0,99675,900
7,8,57,1995-09-21,monthly,Hodonin,south Moravia,161954,8,48.0,8720,116,21,37,20,3,3.7,4.5,3729.0,3651,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,40800,15,NA,79255,900
8,9,70,1993-01-27,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878.0,10108,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,38100,15,NA,85444,400
9,10,54,1996-08-28,monthly,Brno - mesto,south Moravia,387570,1,100.0,9897,140,0,0,0,1,1.6,1.96,18721.0,18696,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,23840,15,NA,83410,1100
10,11,76,1995-10-10,monthly,Sumperk,north Moravia,127369,7,51.2,8369,107,31,32,13,2,4.7,5.88,3736.0,2807,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,6700,15,NA,40389,300
11,12,21,1997-04-15,monthly,Tabor,south Bohemia,103347,7,67.0,9104,123,87,16,7,1,1.5,2.07,2299.0,2354,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,11000,15,NA,29053,1100
12,13,76,1997-08-17,monthly,Sumperk,north Moravia,127369,7,51.2,8369,107,31,32,13,2,4.7,5.88,3736.0,2807,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,7500,15,NA,29751,1000
13,14,47,1996-11-27,monthly,Pardubice,east Bohemia,162580,6,72.8,9538,111,83,26,5,1,1.5,1.81,6079.0,5410,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,17200,15,6.0,59453,400
14,15,70,1993-10-02,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878.0,10108,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,46720,15,NA,66671,800
15,16,12,1997-09-23,monthly,Pribram,central Bohemia,107870,6,58.0,8754,137,84,29,6,1,3.8,4.31,3804.0,3868,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,26300,15,NA,60274,500
16,17,1,1997-01-08,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,25500,15,NA,100815,700
17,19,21,1995-04-07,monthly,Tabor,south Bohemia,103347,7,67.0,9104,123,87,16,7,1,1.5,2.07,2299.0,2354,1,0.0,4961.0,1996-04-29,30276.0,2523.0,12.0,B,True,True,18500,1,NA,58158,-10605
18,20,74,1996-08-24,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,4950,15,NA,20458,500
19,21,54,1997-12-06,monthly,Brno - mesto,south Moravia,387570,1,100.0,9897,140,0,0,0,1,1.6,1.96,18721.0,18696,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,28000,15,NA,61685,1100
20,22,1,1994-03-23,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,27600,15,NA,68160,1100
21,23,30,1993-05-22,monthly,Sokolov,west Bohemia,94812,10,81.8,9650,100,15,13,8,2,3.3,3.67,2985.0,2804,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,40480,15,NA,95299,800
22,24,74,1996-12-05,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,26800,15,NA,49091,1000
23,25,68,1996-07-28,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,1,0.0,4962.0,1997-12-08,30276.0,2523.0,12.0,A,True,False,63300,15,NA,134210,900
24,26,52,1993-08-08,monthly,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2.5,3.49,2564.0,2799,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,29100,15,NA,83469,800
25,27,73,1993-09-26,monthly,Opava,north Moravia,182027,7,56.4,8746,90,17,49,12,2,3.3,3.74,4355.0,4433,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,9500,15,NA,40464,900
26,29,7,1994-11-24,monthly,Melnik,central Bohemia,94725,6,63.4,9920,130,38,28,1,3,2.2,2.87,4289.0,4846,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,18000,8,NA,59950,700
27,30,36,1995-03-04,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796.0,6132,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,75600,15,NA,149154,400
28,31,68,1994-04-27,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,61700,15,NA,137131,800
29,32,5,1995-08-28,monthly,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3.8,4.43,2616.0,3040,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,21500,15,NA,90565,700
30,33,22,1993-08-26,monthly,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1.1,1.25,1089.0,1117,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,63100,15,22.0,123696,600
31,35,75,1993-07-07,monthly,Prerov,north Moravia,138032,5,64.6,8819,99,67,30,4,2,5.3,5.66,4063.0,4505,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,14950,15,NA,32520,600
32,36,1,1993-07-01,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,41120,15,NA,85055,500
33,37,20,1997-08-18,monthly,Strakonice,south Bohemia,70646,4,58.4,8547,120,94,14,3,1,2.6,3.64,1563.0,1542,1,0.0,4967.0,1998-10-14,318480.0,5308.0,60.0,D,True,True,43200,0,NA,104762,-1011
34,39,36,1993-09-22,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796.0,6132,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,7300,15,NA,36322,1100
35,40,64,1993-10-25,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484.0,4265,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,13000,15,NA,41560,700
36,41,72,1997-08-02,monthly,Olomouc,north Moravia,226122,4,62.6,8994,110,32,50,7,4,3.8,4.79,9672.0,9208,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,19000,15,NA,100992,800
37,42,39,1996-08-16,monthly,Most,north Bohemia,119895,4,89.9,10446,90,17,4,3,2,7.3,9.4,4947.0,4743,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,11000,15,NA,45322,800
