account_id,district_id,open_date,statement_frequency,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,municipality_population.500,municipality_population_500.1999,municipality_population_2000.9999,municipality_population_..10000,unemployment_rate_for_95,unemployment_rate_for_96,crimes_committed_in_95,crimes_committed_in_96,num_customers,credit_cards,loan_id,loan_granted_date,loan_amount,loan_payments,loan_term,loan_status,loan,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
1,18,1995-03-24,monthly,Pisek,south Bohemia,70699,4,65.3,8968,131,60,13,2,1,2.8,3.35,1740,1910,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7500,15,NA,30415,1000
2,1,1993-02-26,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,2,0,4959,1994-01-05,80952,3373,24,A,TRUE,FALSE,42000,15,NA,69302,1100
3,5,1997-07-07,monthly,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3.8,4.43,2616,3040,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7400,15,NA,53447,1000
4,12,1996-02-21,monthly,Pribram,central Bohemia,107870,6,58,8754,137,84,29,6,1,3.8,4.31,3804,3868,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5250,15,NA,34870,800
5,15,1997-05-30,monthly,Cesky Krumlov,south Bohemia,58796,5,51.9,9045,124,22,16,7,1,3.1,3.6,1845,1879,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5100,15,NA,32036,600
6,51,1994-09-27,monthly,Trutnov,east Bohemia,121947,11,70.5,8541,131,37,28,7,3,2.5,2.97,3496,3839,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11600,15,NA,51879,900
7,60,1996-11-24,monthly,Prostejov,south Moravia,110643,4,51.9,8441,115,49,41,4,1,3.4,4.48,1879,2252,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,25800,15,1,99675,900
8,57,1995-09-21,monthly,Hodonin,south Moravia,161954,8,48,8720,116,21,37,20,3,3.7,4.5,3729,3651,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,40800,15,NA,79255,900
9,70,1993-01-27,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878,10108,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,38100,15,NA,85444,400
10,54,1996-08-28,monthly,Brno - mesto,south Moravia,387570,1,100,9897,140,0,0,0,1,1.6,1.96,18721,18696,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,23840,15,NA,83410,1100
